Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium55965	Protein of unknown function (DUF971)
Symbiodinium32220	Acyl transferase domain
Symbiodinium55118	Acyl-coenzyme A thioesterase
Symbiodinium56368	hydrolase activity, hydrolyzing N-glycosyl compounds
Symbiodinium29374	Binds the poly(A) tail of mRNA
Symbiodinium16881	Methyltransferase TYW3
Symbiodinium38377	Tim10 DDP zinc finger domain-containing protein
Symbiodinium15676	belongs to the protein kinase superfamily
Symbiodinium55489	biogenesis factor 6
Symbiodinium30907	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1
Symbiodinium12138	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
Symbiodinium37162	Belongs to the type-B carboxylesterase lipase family
Symbiodinium53044	3' exoribonuclease family, domain 1
Symbiodinium47928	Thiosulfate sulfurtransferase (rhodanese)-like
Symbiodinium42121	Belongs to the RNR ribonuclease family
Symbiodinium34428	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium21891	Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis
Symbiodinium51881	Serine/Threonine protein kinases, catalytic domain
Symbiodinium21148	diphthine synthase
Symbiodinium38238	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Symbiodinium15569	(belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family)
Symbiodinium18156	ribosomal protein
Symbiodinium8390	RING-H2 finger protein
Symbiodinium35857	ABC1 family
Symbiodinium48804	cellular process
Symbiodinium50282	Belongs to the adenylate kinase family
Symbiodinium21200	DNA photolyase activity
Symbiodinium43992	COG0204 1-acyl-sn-glycerol-3-phosphate acyltransferase
Symbiodinium51112	Erv1 / Alr family
Symbiodinium52688	Belongs to the BolA IbaG family
Symbiodinium27545	methenyltetrahydrofolate cyclohydrolase activity
Symbiodinium37417	Mediates both low-affinity uptake and efflux of sugar across the membrane
Symbiodinium45420	Catalyzes the isomerization of sulfoquinovose (SQ) to 6- deoxy-6-sulfo-D-fructose (SF)
Symbiodinium28061	Adenylate kinase, active site lid
Symbiodinium39181	3-oxo-behenoyl-CoA reductase activity
Symbiodinium42551	cation-chloride co-transporter
Symbiodinium8271	Thrombospondin type 1 repeats
Symbiodinium52949	protein polyglycylation
Symbiodinium50587	inner membrane translocase subunit
Symbiodinium28666	Valyl tRNA synthetase tRNA binding arm
Symbiodinium19145	serine threonine-protein kinase
Symbiodinium12927	Leucine carboxyl methyltransferase
Symbiodinium33898	IPT/TIG domain
Symbiodinium19201	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Symbiodinium43609	protein maturation by iron-sulfur cluster transfer
Symbiodinium36239	Adenylate and guanylate cyclase catalytic domain-containing protein
Symbiodinium32782	Belongs to the isocitrate lyase PEP mutase superfamily. Isocitrate lyase family
Symbiodinium28275	DnaJ protein homolog
Symbiodinium38392	Presenilin, signal peptide peptidase, family
Symbiodinium27188	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
Symbiodinium45446	Belongs to the alternative oxidase family
Symbiodinium6681	U2 snRNP auxiliary factor
Symbiodinium41633	Protein kinase domain
Symbiodinium51454	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium47096	ubiquitin-protein transferase activity
Symbiodinium37198	snoRNA binding
Symbiodinium25586	Belongs to the SKP1 family
Symbiodinium61265	ABC transporter
Symbiodinium43386	maintenance of protein location in nucleus
Symbiodinium8230	cAMP-dependent protein kinase activity
Symbiodinium47210	Required for ribosome biogenesis. Part of a complex which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1
Symbiodinium36134	aspartic-type endopeptidase activity
Symbiodinium14044	putrescine biosynthetic process from ornithine
Symbiodinium44686	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Symbiodinium36564	N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity
Symbiodinium55033	Cupin-like domain
Symbiodinium27990	Axonemal dynein light chain
Symbiodinium19886	ATP binding
Symbiodinium41374	Ribosomal protein S15
Symbiodinium25553	Permease family
Symbiodinium26724	Reversible hydration of carbon dioxide
Symbiodinium31305	Starch binding domain
Symbiodinium44519	SRP40, C-terminal domain
Symbiodinium50750	Transmembrane family, TMEM144 of transporters
Symbiodinium43479	RNA recognition motif 2
Symbiodinium23311	ribosomal protein L17
Symbiodinium53835	Belongs to the thiolase family
Symbiodinium14416	ATPase activity, coupled to transmembrane movement of substances
Symbiodinium5820	AI-2E family transporter
Symbiodinium47269	Bifunctional DNA N-glycosylase with associated apurinic apyrimidinic (AP) lyase function that catalyzes the first step in base excision repair (BER), the primary repair pathway for the repair of oxidative DNA damage. The DNA N-glycosylase activity releases the damaged DNA base from DNA by cleaving the N- glycosidic bond, leaving an AP site. The AP lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination. Primarily recognizes and repairs oxidative base damage of pyrimidines
Symbiodinium16261	ethanolamine-phosphate phospho-lyase activity
Symbiodinium43822	Protease Do-like 1
Symbiodinium32103	Acid Phosphatase
Symbiodinium33877	L-ascorbic acid binding
Symbiodinium54077	RNA recognition motif 2
Symbiodinium17947	Belongs to the DEAD box helicase family
Symbiodinium31277	oxidoreductase activity
Symbiodinium33358	Oxidoreductase
Symbiodinium14722	Ankyrin repeat
Symbiodinium20067	oligosaccharyl transferase activity
Symbiodinium59644	DNA-binding transcription factor activity
Symbiodinium30242	cysteine-type peptidase activity
Symbiodinium52222	oxidation-reduction process
Symbiodinium75357	Beta-ketoacyl synthase, N-terminal domain
Symbiodinium19303	Transcriptional accessory protein
Symbiodinium30983	microtubule motor activity
Symbiodinium49999	occurring C-terminal to leucine-rich repeats
Symbiodinium53182	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Symbiodinium10182	Belongs to the iron ascorbate-dependent oxidoreductase family
Symbiodinium51259	choline kinase involved in LPS biosynthesis
Symbiodinium40565	oxygen carrier activity
Symbiodinium7432	zinc-finger of a C2HC-type
Symbiodinium20766	methyltransferase
Symbiodinium42184	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium27443	cysteine-type peptidase activity
Symbiodinium50275	Heterogeneous nuclear ribonucleoprotein
Symbiodinium26694	Xeroderma pigmentosum G N-region
Symbiodinium31608	single-stranded DNA binding
Symbiodinium42930	calcium-binding protein
Symbiodinium30085	Signal recognition particle receptor beta subunit
Symbiodinium7291	Phytanoyl-CoA dioxygenase (PhyH)
Symbiodinium30346	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
Symbiodinium24720	Calcium-dependent protein kinase
Symbiodinium9349	glutathione transferase activity
Symbiodinium11752	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
Symbiodinium28068	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
Symbiodinium20438	Belongs to the peptidase C1 family
Symbiodinium15129	Belongs to the DHHC palmitoyltransferase family
Symbiodinium56706	Glycosyltransferase sugar-binding region containing DXD motif
Symbiodinium51003	Cupin-like domain
Symbiodinium46000	GMC oxidoreductase
Symbiodinium26808	calcium-transporting ATPase activity
Symbiodinium33010	Activator of Hsp90 ATPase, N-terminal
Symbiodinium10805	iron ion binding
Symbiodinium27429	Belongs to the RuvB family
Symbiodinium46017	Potential Monad-binding region of RPAP3
Symbiodinium23591	regulation of centriole replication
Symbiodinium6205	Amidohydrolase
Symbiodinium30854	Component of the SWR1 complex which mediates the ATP- dependent exchange of histone H2A for the H2A variant HZT1 leading to transcriptional regulation of selected genes by chromatin remodeling. Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of selected genes principally by acetylation of nucleosomal histones H4 and H2A. The NuA4 complex is also involved in DNA repair. Yaf9 may also be required for viability in conditions in which the structural integrity of the spindle is compromised (By similarity)
Symbiodinium46546	Belongs to the thioredoxin family
Symbiodinium34364	polyketide synthase
Symbiodinium30281	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Symbiodinium53999	PFAM GCN5-related N-acetyltransferase
Symbiodinium35356	enzyme subunit 1
Symbiodinium28335	snRNP Sm proteins
Symbiodinium29778	histone H3
Symbiodinium53666	phosphate ion transport
Symbiodinium33477	Belongs to the heat shock protein 70 family
Symbiodinium34381	isopropylmalate transmembrane transporter activity
Symbiodinium56091	peptide-aspartate beta-dioxygenase activity
Symbiodinium25843	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
Symbiodinium58835	Protein of unknown function, DUF393
Symbiodinium35004	ATPase activity, coupled to transmembrane movement of substances
Symbiodinium7724	RNA splicing
Symbiodinium29930	WD repeat-containing protein
Symbiodinium13344	ABC transporter G family member
Symbiodinium18832	protein methyltransferase activity
Symbiodinium32855	double-strand break repair via alternative nonhomologous end joining
Symbiodinium47594	helicase superfamily c-terminal domain
Symbiodinium11508	belongs to the protein kinase superfamily
Symbiodinium38814	oxidation-reduction process
Symbiodinium42296	Glycosyl hydrolases family 28
Symbiodinium34772	Serine threonine-protein kinase-like protein
Symbiodinium42093	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
Symbiodinium57148	Saccharopine dehydrogenase NADP binding domain
Symbiodinium52396	peptidyl-prolyl cis-trans isomerase activity
Symbiodinium12879	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Symbiodinium49683	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium29651	Encoded by
Symbiodinium26641	fructose-bisphosphate aldolase activity
Symbiodinium55856	Peptidyl-prolyl cis-trans isomerase
Symbiodinium36954	Chromosome 11 open reading frame 65
Symbiodinium38034	Protein tyrosine kinase
Symbiodinium33046	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium30969	Prokaryotic RING finger family 4
Symbiodinium31800	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Symbiodinium10912	Bestrophin, RFP-TM, chloride channel
Symbiodinium27136	photosynthesis
Symbiodinium12528	alpha-L-arabinofuranosidase activity
Symbiodinium3910	serine threonine protein kinase
Symbiodinium27295	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation
Symbiodinium46215	Alpha beta hydrolase
Symbiodinium7354	chloride channel activity
Symbiodinium21083	Methyltransferase domain
Symbiodinium46061	Peptidylprolyl isomerase
Symbiodinium28281	Ribosomal L27 protein
Symbiodinium40643	to Saccharomyces cerevisiae YOS1 (YER074W-A)
Symbiodinium47830	annealing helicase activity
Symbiodinium31634	essential for photochemical activity. FB is the terminal electron acceptor of PSI, donating electrons to ferredoxin. The C-terminus interacts with PsaA B D and helps assemble the protein into the PSI complex. Required for binding of PsaD and PsaE to PSI. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn
Symbiodinium34756	Antibiotic biosynthesis monooxygenase
Symbiodinium24102	Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
Symbiodinium48332	kinase 3
Symbiodinium35997	Cellulase (glycosyl hydrolase family 5)
Symbiodinium38433	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium27492	serine-type carboxypeptidase activity
Symbiodinium45943	Lumazine binding domain
Symbiodinium24335	Serine aminopeptidase, S33
Symbiodinium29963	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Symbiodinium42559	alkylglycerone-phosphate synthase activity
Symbiodinium13263	Belongs to the universal ribosomal protein uS5 family
Symbiodinium15236	L-lactate permease
Symbiodinium38134	COG0719 ABC-type transport system involved in Fe-S cluster assembly permease component
Symbiodinium54633	Solute carrier family 33 (acetyl-CoA transporter), member 1
Symbiodinium43395	GTP-binding protein
Symbiodinium6277	BTB/POZ domain
Symbiodinium33725	protein kinase activity
Symbiodinium43946	Belongs to the DHHC palmitoyltransferase family
Symbiodinium31821	Transportin 2 (importin 3, karyopherin beta 2b)
Symbiodinium19776	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Symbiodinium23103	Rab-GTPase-TBC domain
Symbiodinium28410	Isochorismatase family
Symbiodinium34895	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium34447	Glycolate oxidase subunit GlcD
Symbiodinium17607	Protein tyrosine kinase
Symbiodinium21928	guanyl-nucleotide exchange factor activity
Symbiodinium40242	phosphatase activity
Symbiodinium37280	RER1 protein
Symbiodinium5942	Zgc 172049
Symbiodinium31873	serine-type carboxypeptidase activity
Symbiodinium49353	cytochrome p450
Symbiodinium19703	Calcineurin-like phosphoesterase
Symbiodinium19571	cwf21 domain
Symbiodinium43543	cAMP-dependent protein kinase activity
Symbiodinium32957	E3 ubiquitin-protein ligase
Symbiodinium22978	phosphoglycerate dehydrogenase activity
Symbiodinium12049	UMP salvage
Symbiodinium45781	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium38022	Peptidase family C69
Symbiodinium48626	Amidohydrolase family
Symbiodinium46168	Calcineurin-like phosphoesterase
Symbiodinium7734	Calcium-dependent protein kinase
Symbiodinium40611	Adenylyl cyclase class-3 4 guanylyl cyclase
Symbiodinium6819	Belongs to the membrane-bound acyltransferase family
Symbiodinium47137	ABC-type multidrug transport system ATPase and permease
Symbiodinium45484	DJ-1/PfpI family
Symbiodinium50643	Belongs to the UDP-glycosyltransferase family
Symbiodinium31596	Endonuclease V
Symbiodinium24468	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
Symbiodinium5640	5S rRNA binding
Symbiodinium7681	Belongs to the uridine kinase family
Symbiodinium32771	protein kinase activity
Symbiodinium27279	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Symbiodinium35339	Methyltransferase FkbM domain
Symbiodinium48739	Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S- specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX
Symbiodinium39679	Inorganic H+ pyrophosphatase
Symbiodinium42616	PAP_fibrillin
Symbiodinium25828	glucosyltransferase activity
Symbiodinium30501	PFAM glycoside hydrolase, family 16
Symbiodinium38525	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Symbiodinium48398	photosynthesis
Symbiodinium38260	Phosphoribulokinase / Uridine kinase family
Symbiodinium5991	Eukaryotic translation initiation factor 2-alpha kinase
Symbiodinium43972	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium42521	RNA recognition motif
Symbiodinium50896	Ubiquitin-activating enzyme active site
Symbiodinium42874	COG0471 Di- and tricarboxylate transporters
Symbiodinium17751	Protein tyrosine kinase
Symbiodinium48365	Aldehyde dehydrogenase family
Symbiodinium30062	acid phosphatase activity
Symbiodinium40638	Protein kinase domain
Symbiodinium35525	Cytochrome C biogenesis protein
Symbiodinium33942	AAA domain
Symbiodinium49380	PFAM NAD binding domain of 6-phosphogluconate dehydrogenase
Symbiodinium26555	it plays a direct role in the translocation of protons across the membrane
Symbiodinium38371	glutamate-cysteine ligase activity
Symbiodinium54717	Belongs to the protein kinase superfamily
Symbiodinium31844	ATPase activity, coupled to transmembrane movement of substances
Symbiodinium41982	Protein of unknown function (DUF1749)
Symbiodinium33849	XPG N-terminal
Symbiodinium46941	voltage-gated chloride channel activity
Symbiodinium13950	protein serine/threonine phosphatase activity
Symbiodinium43610	SNAP protein (Soluble N-ethylmaleimide-sensitive factor Attachment Protein)
Symbiodinium20290	ATP-binding Cassette (ABC) Superfamily. Source PGD
Symbiodinium57035	alpha-galactosidase
Symbiodinium12055	Prolyl 4-hydroxylase alpha subunit homologues.
Symbiodinium18578	SET domain
Symbiodinium25912	-
Symbiodinium29809	3-oxoacyl-[acyl-carrier-protein] synthase activity
Symbiodinium52123	Interferon-inducible GTPase
Symbiodinium23149	Chlorophyll A-B binding protein
Symbiodinium27221	heat shock protein 70
Symbiodinium50202	gamma-glutamylcyclotransferase activity
Symbiodinium34793	6phosphofructo2kinase
Symbiodinium30508	Belongs to the aspartokinase family
Symbiodinium27730	Alba
Symbiodinium52826	protein-S-isoprenylcysteine O-methyltransferase
Symbiodinium57679	GDP-mannose 4,6 dehydratase
Symbiodinium16042	Sir2 family
Symbiodinium46441	symporter activity
Symbiodinium51588	Pleckstrin homology domain.
Symbiodinium23242	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Symbiodinium10170	Maleate cis-trans isomerase
Symbiodinium42407	phosphate ion transport
Symbiodinium7603	COG0491 Zn-dependent hydrolases, including glyoxylases
Symbiodinium21266	ATP-dependent RNA helicase activity
Symbiodinium41178	cation-transporting ATPase
Symbiodinium32240	ATP binding
Symbiodinium32706	Belongs to the ATG8 family
Symbiodinium8900	Inositol monophosphatase family
Symbiodinium27142	Encoded by
Symbiodinium9479	RNA binding
Symbiodinium44180	Protein kinase. Source PGD
Symbiodinium39241	Thylakoid lumenal 15.0 kDa protein 2
Symbiodinium30119	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Symbiodinium50123	DIM1 protein homolog
Symbiodinium38008	iron ion binding
Symbiodinium8857	NAD+ binding
Symbiodinium40866	Belongs to the MT-A70-like family
Symbiodinium47513	C-terminal region of MMR_HSR1 domain
Symbiodinium27690	cytochrome P450
Symbiodinium54400	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium41715	antiporter activity
Symbiodinium56775	RNA pseudouridylate synthase
Symbiodinium21597	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Symbiodinium18683	regulation of intraciliary retrograde transport
Symbiodinium31854	Binds the poly(A) tail of mRNA
Symbiodinium59656	calcium ion homeostasis
Symbiodinium14059	peptidyl-prolyl cis-trans isomerase activity
Symbiodinium27513	structural constituent of ribosome
Symbiodinium50554	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Symbiodinium53760	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate
Symbiodinium20212	Belongs to the glycosyl hydrolase 3 family
Symbiodinium50093	zinc finger CCCH domain-containing protein
Symbiodinium8008	cytoplasmic translation
Symbiodinium53275	protein-cysteine S-palmitoyltransferase activity
Symbiodinium54706	Lys63-specific deubiquitinase activity
Symbiodinium16235	Belongs to the DHHC palmitoyltransferase family
Symbiodinium38999	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium45409	protein depalmitoylation
Symbiodinium50663	Cellulase (glycosyl hydrolase family 5)
Symbiodinium8975	Cryptochrome 5
Symbiodinium49777	2-acylglycerol O-acyltransferase
Symbiodinium33140	Tctex-1 family
Symbiodinium40671	Flowering time control
Symbiodinium51383	Ras family
Symbiodinium23442	Protein kinase domain
Symbiodinium39889	CRAL/TRIO domain
Symbiodinium20526	Tubulin/FtsZ family, GTPase domain
Symbiodinium42434	1,4-alpha-glucan branching enzyme activity
Symbiodinium46366	DnaJ molecular chaperone homology domain
Symbiodinium8828	Belongs to the glycosyl hydrolase 47 family
Symbiodinium54465	ADP-ribosylglycohydrolase
Symbiodinium39681	solute carrier family 35, member
Symbiodinium58545	Histone methylation protein DOT1
Symbiodinium35375	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Symbiodinium8716	glycosylceramidase activity
Symbiodinium25188	Protein kinase domain
Symbiodinium28684	FabA-like domain
Symbiodinium52637	protein-ribulosamine 3-kinase activity
Symbiodinium32137	Mitochondrial import inner membrane translocase subunit Tim17
Symbiodinium18318	Radial spoke protein 3
Symbiodinium5839	1-phosphatidylinositol-4-phosphate 5-kinase activity
Symbiodinium27114	Chlorophyll A-B binding protein
Symbiodinium32634	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Symbiodinium45885	Non-specific serine threonine protein kinase
Symbiodinium5721	Protein VAC14 homolog
Symbiodinium5152	Mortierella verticillata NRRL 6337 50S ribosomal protein L34e (120 aa)
Symbiodinium41408	Regulator of chromosome condensation (RCC1) repeat
Symbiodinium55367	epimerase
Symbiodinium23472	Amino Acid
Symbiodinium13211	RING/Ubox like zinc-binding domain
Symbiodinium16529	PFAM 5-formyltetrahydrofolate cyclo-ligase
Symbiodinium6661	Oxidoreductase family, C-terminal alpha/beta domain
Symbiodinium34254	RNA ligase (ATP) activity
Symbiodinium49905	UDP-N-acetylglucosamine catabolic process
Symbiodinium21828	transferase activity, transferring hexosyl groups
Symbiodinium17210	ribonuclease P RNA binding
Symbiodinium50647	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.
Symbiodinium7356	tRNA binding
Symbiodinium31673	Belongs to the 14-3-3 family
Symbiodinium25651	PPPDE putative peptidase domain
Symbiodinium70177	structural constituent of ribosome
Symbiodinium48902	TIGRFAM cysteine desulfurase family protein
Symbiodinium46487	6phosphofructo2kinase
Symbiodinium33114	Lung seven transmembrane receptor
Symbiodinium27338	Chlorophyll A-B binding protein
Symbiodinium7435	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium10849	aralkylamine N-acetyltransferase activity
Symbiodinium5676	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins
Symbiodinium28147	cytoplasmic translation
Symbiodinium6891	Cupin-like domain
Symbiodinium29948	ATP-grasp domain
Symbiodinium26920	Responsible for synthesis of pseudouridine from uracil
Symbiodinium25892	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Symbiodinium45230	GTP binding
Symbiodinium36292	Belongs to the enoyl-CoA hydratase isomerase family
Symbiodinium40749	Epsin N-terminal homology (ENTH) domain
Symbiodinium51020	metallophosphoesterase
Symbiodinium28648	Interconversion of serine and glycine
Symbiodinium29102	Protein of unknown function (DUF2870)
Symbiodinium7518	COG1226 Kef-type K transport systems
Symbiodinium24406	dTDP-4-dehydrorhamnose reductase activity
Symbiodinium13819	pre-RNA processing PIH1/Nop17
Symbiodinium25256	Protein tyrosine kinase
Symbiodinium43102	iron import into the mitochondrion
Symbiodinium30779	Belongs to the DHHC palmitoyltransferase family
Symbiodinium27935	PHD finger-like domain-containing protein
Symbiodinium59765	Source PGD
Symbiodinium57470	CTD-binding SR-like protein rA9
Symbiodinium16459	Insulinase (Peptidase family M16)
Symbiodinium6254	Palmitoyltransferase
Symbiodinium32449	IQ and AAA domain-containing protein 1
Symbiodinium43924	ABC1 family
Symbiodinium32332	this activity may be independent of acetylation activity. Acetylates alpha-tubulin with a slow enzymatic rate, due to a catalytic site that is not optimized for acetyl transfer. Enters the microtubule through each end and diffuses quickly throughout the lumen of microtubules. Acetylates only long old microtubules because of its slow acetylation rate since it does not have time to act on dynamically unstable microtubules before the enzyme is released
Symbiodinium40119	Ribosomal protein l7 l12
Symbiodinium9608	Belongs to the glycosyl hydrolase 3 family
Symbiodinium8543	4Fe-4S single cluster domain
Symbiodinium30997	Protein tyrosine kinase
Symbiodinium43995	phosphatase 2C
Symbiodinium46070	Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family
Symbiodinium42818	spectrin binding
Symbiodinium33919	alpha/beta hydrolase fold
Symbiodinium46614	deSI-like protein At4g17486
Symbiodinium67585	calcium ion binding
Symbiodinium5750	glutamate-cysteine ligase activity
Symbiodinium41837	Phosphatidylinositol-4-phosphate 5-Kinase
Symbiodinium30309	Origin recognition complex (ORC) subunit 4 C-terminus
Symbiodinium24322	glucose import
Symbiodinium50107	Belongs to the pseudouridine synthase RluA family
Symbiodinium26458	PUA-like domain
Symbiodinium44922	Source PGD
Symbiodinium52631	Belongs to the ATG8 family
Symbiodinium7194	Protein of unknown function (DUF1294)
Symbiodinium18076	rRNA processing
Symbiodinium36257	protein serine/threonine phosphatase activity
Symbiodinium29459	Uroporphyrinogen decarboxylase (URO-D)
Symbiodinium40049	methylglyoxal metabolic process
Symbiodinium45985	CAP_GLY
Symbiodinium27520	GUN4-like
Symbiodinium31972	SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein
Symbiodinium27249	-
Symbiodinium26325	Belongs to the protein kinase superfamily
Symbiodinium48756	X-ray repair complementing defective repair in Chinese hamster cells 2
Symbiodinium7529	antiporter activity
Symbiodinium35266	LON peptidase N-terminal domain and RING finger
Symbiodinium40928	2Fe-2S iron-sulfur cluster binding domain
Symbiodinium10887	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium17831	protein kinase activity
Symbiodinium50939	PITH domain
Symbiodinium14098	Epsin N-terminal homology (ENTH) domain
Symbiodinium28492	Replication factor C C-terminal domain
Symbiodinium22897	heavy chain
Symbiodinium74519	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome
Symbiodinium26927	-
Symbiodinium9621	GTP-binding protein
Symbiodinium55589	Spermatogenesis associated 5
Symbiodinium38468	aspartyl-tRNA aminoacylation
Symbiodinium9599	Endoplasmic reticulum metallopeptidase
Symbiodinium39647	serine threonine kinase
Symbiodinium46635	voltage-gated potassium channel activity
Symbiodinium35079	Belongs to the 14-3-3 family
Symbiodinium5384	Ammonium transporter
Symbiodinium36657	serine-type peptidase activity
Symbiodinium16717	palmitoyl-(protein) hydrolase activity
Symbiodinium48411	Glycogen recognition site of AMP-activated protein kinase
Symbiodinium40302	selenate reductase activity
Symbiodinium13857	MOSC domain protein beta barrel domain protein
Symbiodinium22408	Pyridoxal-phosphate dependent enzyme
Symbiodinium29022	Translation release factor activity, codon specific. It is involved in the biological process described with translational termination
Symbiodinium48295	PDZ-like domain
Symbiodinium14282	Chlorophyll A-B binding protein
Symbiodinium40832	protein). Source PGD
Symbiodinium50116	Prefoldin subunit
Symbiodinium50862	FUN14 family protein. Source PGD
Symbiodinium5564	tRNA (guanine) methyltransferase activity
